species,reference,fruit_size_mm,fruit_size_min_mm,tdwg_l3
Ficus drupacea,Berg (2005) Fl. Males.,25,10,Java
Ficus drupacea,Berg (2005) Fl. Males.,25,10,Lesser Sundas
Ficus drupacea,Berg (2005) Fl. Males.,25,10,Borneo
Ficus drupacea,Berg (2005) Fl. Males.,25,10,Philippines
Ficus drupacea,Berg (2005) Fl. Males.,25,10,Sulawesi
Ficus drupacea,Berg (2005) Fl. Males.,25,10,Maluku
Ficus drupacea,Berg (2005) Fl. Males.,25,10,New Guinea
Ficus dubia,Berg (2005) Fl. Males.,40,15,Sumatra
Ficus dubia,Berg (2005) Fl. Males.,40,15,Borneo
Ficus edanoi,Berg (2005) Fl. Males.,8,7,Philippines
Ficus edelfeltii,Berg (2005) Fl. Males.,35,10,New Guinea
Ficus elastica,Berg (2005) Fl. Males.,8,5,Sumatra
Ficus elastica,Berg (2005) Fl. Males.,8,5,Java
Ficus elmeri,Berg (2005) Fl. Males.,15,8,Philippines
Ficus elmeri,Berg (2005) Fl. Males.,15,8,Sulawesi
Ficus endochaete,Berg (2005) Fl. Males.,12,8,New Guinea
Ficus endospermifolia,Berg (2005) Fl. Males.,30,13,Borneo
Ficus erinobotrya,Berg (2005) Fl. Males.,15,7,New Guinea
Ficus erythrosperma,Berg (2005) Fl. Males.,18,4,Sulawesi
Ficus erythrosperma,Berg (2005) Fl. Males.,18,4,New Guinea
Ficus eumorpha,Berg (2005) Fl. Males.,20,16,Borneo
Ficus eustephana,Berg (2005) Fl. Males.,18,13,New Guinea
Ficus excavata,Berg (2005) Fl. Males.,3,2,Sumatra
Ficus excavata,Berg (2005) Fl. Males.,3,2,Borneo
Ficus fiskei,Berg (2005) Fl. Males.,18,8,Philippines
Ficus fistulosa,Berg (2005) Fl. Males.,25,6,Sumatra
Ficus fistulosa,Berg (2005) Fl. Males.,25,6,Java
Ficus fistulosa,Berg (2005) Fl. Males.,25,6,Borneo
Ficus fistulosa,Berg (2005) Fl. Males.,25,6,Philippines
Ficus fistulosa,Berg (2005) Fl. Males.,25,6,Sulawesi
Ficus fistulosa,Berg (2005) Fl. Males.,25,6,Lesser Sundas
Ficus fistulosa,Berg (2005) Fl. Males.,25,6,New Guinea
Ficus flagellaris,Berg (2005) Fl. Males.,15,8,New Guinea
Ficus flavistipulata,Berg (2012) Blumea 57,15,10,Sulawesi
Ficus floccifera,Berg (2005) Fl. Males.,10,7,New Guinea
Ficus floresana,Berg (2005) Fl. Males.,13,5,Lesser Sundas
Ficus forstenii,Berg (2005) Fl. Males.,20,15,Borneo
Ficus forstenii,Berg (2005) Fl. Males.,20,15,Philippines
Ficus forstenii,Berg (2005) Fl. Males.,20,15,Sulawesi
Ficus francisci,Berg (2005) Fl. Males.,50,15,Borneo
Ficus fulva,Berg (2005) Fl. Males.,25,12,Sumatra
Ficus fulva,Berg (2005) Fl. Males.,25,12,Java
Ficus fulva,Berg (2005) Fl. Males.,25,12,Lesser Sundas
Ficus fulva,Berg (2005) Fl. Males.,25,12,Borneo
Ficus fulva,Berg (2005) Fl. Males.,25,12,Sulawesi
Ficus funiculicaulis,Berg (2005) Fl. Males.,3,2,New Guinea
Ficus funiculosa,Berg (2005) Fl. Males.,45,18,Maluku
Ficus funiculosa,Berg (2005) Fl. Males.,45,18,New Guinea
Ficus fuscata,Berg (2005) Fl. Males.,20,13,New Guinea
Ficus gamostyla,Berg (2005) Fl. Males.,7,7,Borneo
Ficus geocarpa,Berg (2005) Fl. Males.,16,12,Sulawesi
Ficus geocarpa,Berg (2005) Fl. Males.,16,12,Java
Ficus geocharis,Berg (2005) Fl. Males.,20,15,Borneo
Ficus gibbsiae,Berg (2011) Blumea 56,6,5,Borneo
Ficus gigantifolia,Berg (2005) Fl. Males.,30,15,Philippines
Ficus gilapong,Berg (2005) Fl. Males.,40,15,Sumatra
Ficus glaberrima,Berg (2005) Fl. Males.,7,5,Sumatra
Ficus glaberrima,Berg (2005) Fl. Males.,7,5,Java
Ficus glaberrima,Berg (2005) Fl. Males.,7,5,Lesser Sundas
Ficus glabristipulata,Berg (2005) Fl. Males.,18,15,Sumatra
Ficus glandifera,Berg (2005) Fl. Males.,18,8,Sulawesi
Ficus glandifera,Berg (2005) Fl. Males.,18,8,New Guinea
Ficus glandulifera,Berg (2008) Blumea 53_Berg (2005) Fl. Males.,15,7,Sumatra
Ficus glandulifera,Berg (2008) Blumea 53_Berg (2005) Fl. Males.,15,7,Java
Ficus glandulifera,Berg (2008) Blumea 53_Berg (2005) Fl. Males.,15,7,Philippines
Ficus glandulifera,Berg (2008) Blumea 53_Berg (2005) Fl. Males.,15,7,Sulawesi
Ficus glandulifera,Berg (2008) Blumea 53_Berg (2005) Fl. Males.,15,7,New Guinea
Ficus glareosa,Berg (2005) Fl. Males.,12,10,Philippines
Ficus globosa,Berg (2005) Fl. Males.,15,8,Sumatra
Ficus globosa,Berg (2005) Fl. Males.,15,8,Java
Ficus globosa,Berg (2005) Fl. Males.,15,8,Borneo
Ficus goniophylla,Berg (2005) Fl. Males.,20,10,Sulawesi
Ficus gorontaloensis,Berg (2011) Blumea 56,20,15,Sulawesi
Ficus gracillima,Berg (2005) Fl. Males.,7,3,Sulawesi
Ficus gracillima,Berg (2005) Fl. Males.,7,3,New Guinea
Ficus grandiflora,Berg (2005) Fl. Males.,70,50,Borneo
Ficus gratiosa,Berg (2005) Fl. Males.,20,13,Sulawesi
Ficus grewiifolia,Berg (2005) Fl. Males.,5,3,Sumatra
Ficus grewiifolia,Berg (2005) Fl. Males.,5,3,Java
Ficus grewiifolia,Berg (2005) Fl. Males.,5,3,Sulawesi
Ficus grewiifolia,Berg (2005) Fl. Males.,5,3,Maluku
Ficus grossularioides,Berg (2005) Fl. Males.,15,5,Sumatra
Ficus grossularioides,Berg (2005) Fl. Males.,15,5,Java
Ficus grossularioides,Berg (2005) Fl. Males.,15,5,Borneo
Ficus gul,Berg (2005) Fl. Males.,12,3,Borneo
Ficus gul,Berg (2005) Fl. Males.,12,3,Philippines
Ficus gul,Berg (2005) Fl. Males.,12,3,Sulawesi
Ficus gul,Berg (2005) Fl. Males.,12,3,Lesser Sundas
Ficus gul,Berg (2005) Fl. Males.,12,3,New Guinea
Ficus gymnorygma,Berg (2005) Fl. Males.,45,30,New Guinea
Ficus hadroneura,Berg (2005) Fl. Males.,15,10,New Guinea
Ficus hahliana,Berg (2005) Fl. Males.,18,13,New Guinea
Ficus halmaherae,Berg (2005) Fl. Males.,18,13,Maluku
Ficus hemsleyana,Berg (2005) Fl. Males.,8,5,Borneo
Ficus hesperidiiformis,Berg (2005) Fl. Males.,50,10,New Guinea
Ficus heterophylla,Berg (2005) Fl. Males.,15,8,Java
Ficus heterophylla,Berg (2005) Fl. Males.,15,8,Borneo
Ficus heteropleura,Berg (2005) Fl. Males.,15,3,Sumatra
Ficus heteropleura,Berg (2005) Fl. Males.,15,3,Java
Ficus heteropleura,Berg (2005) Fl. Males.,15,3,Borneo
Ficus heteropleura,Berg (2005) Fl. Males.,15,3,Philippines
Ficus heteropleura,Berg (2005) Fl. Males.,15,3,Sulawesi
Ficus heteropleura,Berg (2005) Fl. Males.,15,3,Lesser Sundas
Ficus heteropoda,Berg (2005) Fl. Males.,20,8,Philippines
Ficus heteropoda,Berg (2005) Fl. Males.,20,8,Sulawesi
Ficus hispida,Berg (2005) Fl. Males.,35,15,Sumatra
Ficus hispida,Berg (2005) Fl. Males.,35,15,Java
Ficus hispida,Berg (2005) Fl. Males.,35,15,Borneo
Ficus hispida,Berg (2005) Fl. Males.,35,15,Sulawesi
Ficus hispida,Berg (2005) Fl. Males.,35,15,Lesser Sundas
Ficus hispida,Berg (2005) Fl. Males.,35,15,New Guinea
Ficus hombroniana,Berg (2005) Fl. Males.,14,6,Sulawesi
Ficus hombroniana,Berg (2005) Fl. Males.,14,6,Maluku
Ficus hombroniana,Berg (2005) Fl. Males.,14,6,New Guinea
Ficus hypobrunnea,Berg (2005) Fl. Males.,8,6,New Guinea
Ficus hypogaea,Berg (2005) Fl. Males.,15,8,Sumatra
Ficus hypophaea,Berg (2005) Fl. Males.,25,12,New Guinea
Ficus ihuensis,Berg (2005) Fl. Males.,5,4,New Guinea
Ficus ilias-paiei,Gard. Bull. Singapore 50: 207 (1998),70,25,Borneo
Ficus inaequifolia,Berg (2005) Fl. Males.,6,4,Philippines
Ficus inaequipetiolata,Berg (2005) Fl. Males.,15,8,Borneo
Ficus insculpta,Berg (2005) Fl. Males.,10,3,New Guinea
Ficus involucrata,Berg (2005) Fl. Males.,13,10,Java
Ficus iodotricha,Berg (2005) Fl. Males.,30,10,New Guinea
Ficus itoana,Berg (2005) Fl. Males.,40,15,New Guinea
Ficus ixoroides,Berg (2005) Fl. Males.,10,7,Borneo
Ficus jacobsii,Berg (2005) Fl. Males.,65,15,New Guinea
Ficus jaheriana,Berg (2005) Fl. Males.,8,5,Borneo
Ficus jambiensis,Berg (2012) Blumea 57,8,8,Sumatra
Ficus jimiensis,Berg (2005) Fl. Males.,30,12,New Guinea
Ficus juglandiformis,Berg (2005) Fl. Males.,30,15,Sumatra
Ficus kalimantana,Blumea 55: 115 (2010),10,10,Borneo
Ficus kerkhovenii,Berg (2005) Fl. Males.,10,5,Sumatra
Ficus kerkhovenii,Berg (2005) Fl. Males.,10,5,Java
Ficus kerkhovenii,Berg (2005) Fl. Males.,10,5,Borneo
Ficus kerkhovenii,Berg (2005) Fl. Males.,10,5,Philippines
Ficus kjellbergii,Berg (2005) Fl. Males.,9,5,Sulawesi
Ficus kochummeniana,Berg (2005) Fl. Males.,8,5,Sumatra
Ficus kochummeniana,Berg (2005) Fl. Males.,8,5,Borneo
Ficus kofmaniae,Berg (2005) Fl. Males.,11,8,Sulawesi
Ficus kuchinensis,Berg (2005) Fl. Males.,5,3,Borneo
Ficus kurzii,Berg (2005) Fl. Males.,8,5,Sumatra
Ficus kurzii,Berg (2005) Fl. Males.,8,5,Java
Ficus laevicarpa,Berg (2011) Blumea 56,15,10,Philippines
Ficus laevis,Berg (2005) Fl. Males.,35,12,Sumatra
Ficus laevis,Berg (2005) Fl. Males.,35,12,Java
Ficus laevis,Berg (2005) Fl. Males.,35,12,Borneo
Ficus lamponga,Berg (2005) Fl. Males._Berg (2008) Blumea 53,16,8,Sumatra
Ficus lanata,Berg (2005) Fl. Males.,15,4,Sumatra
Ficus lanata,Berg (2005) Fl. Males.,15,4,Java
Ficus lanata,Berg (2005) Fl. Males.,15,4,Borneo
Ficus lasiocarpa,Berg (2005) Fl. Males.,10,6,Sumatra
Ficus latimarginata,Berg (2005) Fl. Males.,20,10,Sulawesi
Ficus lawesii,Berg (2005) Fl. Males.,10,4,Philippines
Ficus lawesii,Berg (2005) Fl. Males.,10,4,Borneo
Ficus lawesii,Berg (2005) Fl. Males.,10,4,Maluku
Ficus lawesii,Berg (2005) Fl. Males.,10,4,New Guinea
Ficus lepicarpa,Berg (2005) Fl. Males.,25,10,Sumatra
Ficus lepicarpa,Berg (2005) Fl. Males.,25,10,Java
Ficus lepicarpa,Berg (2005) Fl. Males.,25,10,Borneo
Ficus lepicarpa,Berg (2005) Fl. Males.,25,10,Philippines
Ficus lepicarpa,Berg (2005) Fl. Males.,25,10,Sulawesi
Ficus leptocalama,Berg (2005) Fl. Males.,3,2,Borneo
Ficus leptodictya,Berg (2005) Fl. Males.,12,9,New Guinea
Ficus leptogramma,Berg (2005) Fl. Males.,20,8,Borneo
Ficus limosa,Berg (2005) Fl. Males.,25,10,Borneo
Ficus linearifolia,Berg (2005) Fl. Males.,10,5,Philippines
Ficus litseifolia,Berg (2005) Fl. Males.,8,5,Sumatra
Ficus longistipulata,Gard. Bull. Singapore 50: 208 (1998),7,5,Borneo
Ficus lumutana,Berg (2008) Blumea 53,12,8,Borneo
Ficus macilenta,Berg (2005) Fl. Males.,10,6,Borneo
Ficus macrorrhyncha,Berg (2005) Fl. Males.,10,5,New Guinea
Ficus macrostyla,Berg (2005) Fl. Males.,25,20,Borneo
Ficus magnoliifolia,Berg (2005) Fl. Males.,25,10,Sumatra
Ficus magnoliifolia,Berg (2005) Fl. Males.,25,10,Java
Ficus magnoliifolia,Berg (2005) Fl. Males.,25,10,Lesser Sundas
Ficus magnoliifolia,Berg (2005) Fl. Males.,25,10,Borneo
Ficus magnoliifolia,Berg (2005) Fl. Males.,25,10,Philippines
Ficus magnoliifolia,Berg (2005) Fl. Males.,25,10,Sulawesi
Ficus malayana,Blumea 52: 315 (2007),35,15,Borneo
Ficus manuselensis,Berg (2005) Fl. Males.,30,30,Maluku
Ficus matanoensis,Berg (2005) Fl. Males.,10,7,Sulawesi
Ficus megaleia,Berg (2005) Fl. Males.,30,10,Borneo
Ficus megalophylla,Berg (2005) Fl. Males.,23,20,New Guinea
Ficus melinocarpa,Berg (2005) Fl. Males.,20,6,Sumatra
Ficus melinocarpa,Berg (2005) Fl. Males.,20,6,Java
Ficus melinocarpa,Berg (2005) Fl. Males.,20,6,Borneo
Ficus melinocarpa,Berg (2005) Fl. Males.,20,6,Philippines
Ficus melinocarpa,Berg (2005) Fl. Males.,20,6,Sulawesi
Ficus melinocarpa,Berg (2005) Fl. Males.,20,6,New Guinea
Ficus microcarpa,Berg (2005) Fl. Males.,10,5,Sumatra
Ficus microcarpa,Berg (2005) Fl. Males.,10,5,Java
Ficus microcarpa,Berg (2005) Fl. Males.,10,5,Borneo
Ficus microcarpa,Berg (2005) Fl. Males.,10,5,Philippines
Ficus microcarpa,Berg (2005) Fl. Males.,10,5,Lesser Sundas
Ficus microcarpa,Berg (2005) Fl. Males.,10,5,Sulawesi
Ficus microcarpa,Berg (2005) Fl. Males.,10,5,New Guinea
Ficus microdictya,Berg (2005) Fl. Males.,35,10,New Guinea
Ficus microsphaera,Berg (2005) Fl. Males.,4,2,Philippines
Ficus microsyce,Berg (2005) Fl. Males.,4,3,Sumatra
Ficus midotis,Berg (2005) Fl. Males.,12,3,Borneo
Ficus minahassae,Berg (2005) Fl. Males.,6,3,Borneo
Ficus minahassae,Berg (2005) Fl. Males.,6,3,Philippines
Ficus minahassae,Berg (2005) Fl. Males.,6,3,Sulawesi
Ficus miqueliana,Berg (2005) Fl. Males.,10,8,Java
Ficus mollior,Berg (2005) Fl. Males.,25,5,New Guinea
Ficus montana,Berg (2005) Fl. Males.,8,5,Sumatra
Ficus montana,Berg (2005) Fl. Males.,8,5,Java
Ficus montana,Berg (2005) Fl. Males.,8,5,Borneo
Ficus morobensis,Berg (2005) Fl. Males.,45,20,New Guinea
Ficus multistipularis,Berg (2005) Fl. Males.,20,15,Philippines
Ficus myiopotamica,Berg (2005) Fl. Males.,10,10,New Guinea
Ficus nana,Berg (2005) Fl. Males.,13,13,New Guinea
Ficus nota,Berg (2005) Fl. Males.,45,10,Borneo
Ficus nota,Berg (2005) Fl. Males.,45,10,Philippines
Ficus obliqua,Berg (2005) Fl. Males.,10,3,Maluku
Ficus obliqua,Berg (2005) Fl. Males.,10,3,New Guinea
Ficus obscura,Berg (2005) Fl. Males.,22,6,Sumatra
Ficus obscura,Berg (2005) Fl. Males.,22,6,Java
Ficus obscura,Berg (2005) Fl. Males.,22,6,Borneo
Ficus obscura,Berg (2005) Fl. Males.,22,6,Philippines
Ficus odoardi,Berg (2005) Fl. Males.,45,6,Maluku
Ficus odoardi,Berg (2005) Fl. Males.,45,6,New Guinea
Ficus odorata,Berg (2005) Fl. Males.,18,10,Philippines
Ficus oleifolia,Berg (2005) Fl. Males.,12,2,Sumatra
Ficus oleifolia,Berg (2005) Fl. Males.,12,2,Borneo
Ficus oleifolia,Berg (2005) Fl. Males.,12,2,Philippines
Ficus oleifolia,Berg (2005) Fl. Males.,12,2,Sulawesi
Ficus opposita,Berg (2005) Fl. Males.,20,8,New Guinea
Ficus ovatacuta,Berg (2005) Fl. Males.,40,9,New Guinea
Ficus oxymitroides,Berg (2005) Fl. Males.,12,7,New Guinea
Ficus pachyrrhachis,Berg (2005) Fl. Males.,30,20,New Guinea
Ficus pachysycia,Berg (2005) Fl. Males.,30,25,New Guinea
Ficus padana,Berg (2005) Fl. Males.,55,20,Sumatra
Ficus padana,Berg (2005) Fl. Males.,55,20,Java
Ficus pallescens,Berg (2005) Fl. Males.,8,3,Sumatra
Ficus pallescens,Berg (2005) Fl. Males.,8,3,Borneo
Ficus pantoniana,Berg (2005) Fl. Males.,35,6,Sulawesi
Ficus pantoniana,Berg (2005) Fl. Males.,35,6,Maluku
Ficus pantoniana,Berg (2005) Fl. Males.,35,6,New Guinea
Ficus paoana,Blumea 52: 291 (2007),13,8,New Guinea
Ficus papuana,Berg (2005) Fl. Males.,45,20,New Guinea
Ficus paracamptophylla,Berg (2005) Fl. Males.,25,13,Borneo
Ficus parietalis,Berg (2005) Fl. Males.,25,8,Sumatra
Ficus parietalis,Berg (2005) Fl. Males.,25,8,Java
Ficus parietalis,Berg (2005) Fl. Males.,25,8,Borneo
Ficus parietalis,Berg (2005) Fl. Males.,25,8,Philippines
Ficus parietalis,Berg (2005) Fl. Males.,25,8,Maluku
Ficus parvibracteata,Berg (2005) Fl. Males.,12,5,Sulawesi
Ficus patellata,Berg (2005) Fl. Males.,7,5,New Guinea
Ficus pedunculosa,Berg (2005) Fl. Males.,15,8,Philippines
Ficus pedunculosa,Berg (2005) Fl. Males.,15,8,Sulawesi
Ficus pedunculosa,Berg (2005) Fl. Males.,15,8,New Guinea
Ficus pellucidopunctata,Berg (2005) Fl. Males.,18,6,Sumatra
Ficus pellucidopunctata,Berg (2005) Fl. Males.,18,6,Borneo
Ficus pellucidopunctata,Berg (2005) Fl. Males.,18,6,Philippines
Ficus pendens,Berg (2005) Fl. Males.,5,3,Sumatra
Ficus pendens,Berg (2005) Fl. Males.,5,3,Java
Ficus pendens,Berg (2005) Fl. Males.,5,3,Borneo
Ficus peninsula,Berg (2005) Fl. Males.,40,15,Philippines
Ficus perfulva,Berg (2005) Fl. Males.,10,7,Philippines
Ficus phaeobullata,Berg (2005) Fl. Males.,12,10,New Guinea
Ficus phaeosyce,Berg (2005) Fl. Males.,7,4,New Guinea
Ficus phatnophylla,Berg (2005) Fl. Males.,4,3,New Guinea
Ficus pilulifera,Berg (2005) Fl. Males.,12,6,New Guinea
Ficus pisocarpa,Berg (2005) Fl. Males.,10,6,Sumatra
Ficus pisocarpa,Berg (2005) Fl. Males.,10,6,Java
Ficus pisocarpa,Berg (2005) Fl. Males.,10,6,Borneo
Ficus pisocarpa,Berg (2005) Fl. Males.,10,6,Philippines
Ficus pleiadenia,Berg (2005) Fl. Males.,20,4,New Guinea
Ficus pleyteana,Berg (2005) Fl. Males.,10,7,Maluku
Ficus polyantha,Berg (2005) Fl. Males.,45,10,Philippines
Ficus polyantha,Berg (2005) Fl. Males.,45,10,New Guinea
Ficus porata,Berg (2012) Blumea 57,6,5,New Guinea
Ficus porphyrochaete,Berg (2005) Fl. Males.,20,7,New Guinea
Ficus porrecta,Berg (2005) Fl. Males.,20,20,New Guinea
Ficus praestans,Berg (2005) Fl. Males.,30,25,New Guinea
Ficus prasinicarpa,Berg (2005) Fl. Males.,13,4,Philippines
Ficus prasinicarpa,Berg (2005) Fl. Males.,13,4,Sulawesi
Ficus prasinicarpa,Berg (2005) Fl. Males.,13,4,Maluku
Ficus prasinicarpa,Berg (2005) Fl. Males.,13,4,New Guinea
Ficus primaria,Berg (2005) Fl. Males.,50,20,New Guinea
Ficus pseudocaulocarpa,Chantarasuwan (2015),5,4,Philippines
Ficus pseudoconcinna,Chantarasuwan (2013),6,3,Sulawesi
Ficus pseudojaca,Berg (2005) Fl. Males.,12,10,New Guinea
Ficus pseudopalma,Berg (2005) Fl. Males.,40,20,Philippines
Ficus pseudowassa,Berg (2005) Fl. Males.,20,7,New Guinea
Ficus punctata,Berg (2005) Fl. Males.,100,15,Sumatra
Ficus punctata,Berg (2005) Fl. Males.,100,15,Java
Ficus punctata,Berg (2005) Fl. Males.,100,15,Borneo
Ficus punctata,Berg (2005) Fl. Males.,100,15,Philippines
Ficus punctata,Berg (2005) Fl. Males.,100,15,Sulawesi
Ficus punctata,Berg (2005) Fl. Males.,100,15,Lesser Sundas
Ficus punctata,Berg (2005) Fl. Males.,100,15,Maluku
Ficus pungens,Berg (2005) Fl. Males.,12,4,Sulawesi
Ficus pungens,Berg (2005) Fl. Males.,12,4,New Guinea
Ficus pustulata,Berg (2005) Fl. Males.,15,10,Philippines
Ficus quercetorum,Berg (2005) Fl. Males.,13,8,New Guinea
Ficus racemosa,Berg (2005) Fl. Males.,50,15,Sumatra
Ficus racemosa,Berg (2005) Fl. Males.,50,15,Java
Ficus racemosa,Berg (2005) Fl. Males.,50,15,Lesser Sundas
Ficus racemosa,Berg (2005) Fl. Males.,50,15,Borneo
Ficus racemosa,Berg (2005) Fl. Males.,50,15,Sulawesi
Ficus racemosa,Berg (2005) Fl. Males.,50,15,New Guinea
Ficus recurva,Berg (2005) Fl. Males.,9,3,Sumatra
Ficus recurva,Berg (2005) Fl. Males.,9,3,Java
Ficus recurva,Berg (2005) Fl. Males.,9,3,Borneo
Ficus recurva,Berg (2005) Fl. Males.,9,3,Philippines
Ficus remifolia,Berg (2005) Fl. Males.,15,15,Sulawesi
Ficus retusa,Berg (2005) Fl. Males.,9,6,Java
Ficus retusa,Berg (2005) Fl. Males.,9,6,Borneo
Ficus rhizophoriphylla,Berg (2005) Fl. Males.,10,4,New Guinea
Ficus ribes,Berg (2005) Fl. Males.,20,4,Sumatra
Ficus ribes,Berg (2005) Fl. Males.,20,4,Java
Ficus riedelii,Berg (2005) Fl. Males.,13,4,Sulawesi
Ficus rigo,Berg (2005) Fl. Males.,8,6,New Guinea
Ficus rivularis,Berg (2005) Fl. Males.,18,12,Philippines
Ficus robusta,Berg (2005) Fl. Males.,70,25,New Guinea
Ficus rosulata,Blumea 55: 117 (2010),35,12,Sumatra
Ficus rosulata,Blumea 55: 117 (2010),35,12,Borneo
Ficus rubrijuvenis,Harvard Pap. Bot. 15: 4 (2010),8.8,6,New Guinea
Ficus rubrivestimenta,Harvard Pap. Bot. 15: 4 (2010),12,8,New Guinea
Ficus rubrocuspidata,Berg (2005) Fl. Males.,3,2,Borneo
Ficus rubromidotis,Berg (2005) Fl. Males.,5,3,Borneo
Ficus rubrosyce,Berg (2005) Fl. Males.,11,9,Sumatra
Ficus ruficaulis,Berg (2005) Fl. Males.,18,15,Philippines
Ficus ruficaulis,Berg (2005) Fl. Males.,18,15,Sulawesi
Ficus ruginervia,Berg (2005) Fl. Males.,50,10,Sumatra
Ficus ruginervia,Berg (2005) Fl. Males.,50,10,Borneo
Ficus rumphii,Berg (2005) Fl. Males.,20,9,Java
Ficus rumphii,Berg (2005) Fl. Males.,20,9,Lesser Sundas
Ficus sabahana,Berg (2005) Fl. Males.,8,6,Borneo
Ficus saccata,Berg (2005) Fl. Males.,35,20,New Guinea
Ficus sageretina,Berg (2005) Fl. Males.,7,5,New Guinea
Ficus sagittata,Berg (2005) Fl. Males.,20,3,Sumatra
Ficus sagittata,Berg (2005) Fl. Males.,20,3,Java
Ficus sagittata,Berg (2005) Fl. Males.,20,3,Borneo
Ficus sagittata,Berg (2005) Fl. Males.,20,3,Philippines
Ficus sagittata,Berg (2005) Fl. Males.,20,3,Sulawesi
Ficus sagittata,Berg (2005) Fl. Males.,20,3,Lesser Sundas
Ficus samarana,Berg (2012) Blumea 57,15,12,Philippines
Ficus sandanakana,Berg (2005) Fl. Males.,12,8,Borneo
Ficus sangumae,Harvard Pap. Bot. 15: 1 (2010),8.5,5,New Guinea
Ficus sarawakensis,Berg (2005) Fl. Males.,20,13,Borneo
Ficus saruensis,Blumea 52: 293 (2007),12,7,New Guinea
Ficus satterthwaitei,Berg (2005) Fl. Males.,45,15,Borneo
Ficus satterthwaitei,Berg (2005) Fl. Males.,45,15,Philippines
Ficus saurauioides,Berg (2005) Fl. Males.,13,10,New Guinea
Ficus saxophila,Berg (2005) Fl. Males.,8,5,Java
Ficus saxophila,Berg (2005) Fl. Males.,8,5,Philippines
Ficus saxophila,Berg (2005) Fl. Males.,8,5,Sulawesi
Ficus saxophila,Berg (2005) Fl. Males.,8,5,Lesser Sundas
Ficus saxophila,Berg (2005) Fl. Males.,8,5,New Guinea
Ficus schefferiana,Berg (2005) Fl. Males.,12,7,Sumatra
Ficus schumanniana,Berg (2005) Fl. Males.,8,5,New Guinea
Ficus schwarzii,Berg (2011) Blumea 56,18,10,Sulawesi
Ficus sciaphila,Berg (2005) Fl. Males.,20,13,New Guinea
Ficus sclerosycia,Berg (2005) Fl. Males.,18,15,New Guinea
Ficus scopulifera,Berg (2005) Fl. Males.,13,10,New Guinea
Ficus scratchleyana,Berg (2005) Fl. Males.,15,7,New Guinea
Ficus semivestita,Berg (2005) Fl. Males.,40,25,New Guinea
Ficus serraria,Berg (2005) Fl. Males.,10,6,Sumatra
Ficus setiflora,Berg (2005) Fl. Males.,9,5,Borneo
Ficus simplicissima,Berg (2005) Fl. Males.,40,7,Java
Ficus simplicissima,Berg (2005) Fl. Males.,40,7,Sumatra
Ficus singalana,Berg (2005) Fl. Males.,70,70,Sumatra
Ficus sinuata,Berg (2005) Fl. Males.,8,3,Sumatra
Ficus sinuata,Berg (2005) Fl. Males.,8,3,Java
Ficus sinuata,Berg (2005) Fl. Males.,8,3,Borneo
Ficus soepadmoi,Berg (2005) Fl. Males.,8,5,Borneo
Ficus sohotonensis,Berg (2005) Fl. Males.,35,20,Philippines
Ficus sorongensis,Berg (2012) Blumea 57,7,7,New Guinea
Ficus spathulifolia,Berg (2005) Fl. Males.,5,4,Sumatra
Ficus spathulifolia,Berg (2005) Fl. Males.,5,4,Borneo
Ficus spiralis,Berg (2005) Fl. Males.,5,4,Borneo
Ficus stellaris,Berg (2005) Fl. Males.,12,3,New Guinea
Ficus stipata,Berg (2005) Fl. Males.,5,5,Sumatra
Ficus stolonifera,Berg (2005) Fl. Males.,12,8,Borneo
Ficus stricta,Berg (2005) Fl. Males.,30,8,Sumatra
Ficus stricta,Berg (2005) Fl. Males.,30,8,Java
Ficus subcaudata,Berg (2005) Fl. Males.,15,15,New Guinea
Ficus subcongesta,Berg (2005) Fl. Males.,25,8,New Guinea
Ficus subcordata,Berg (2005) Fl. Males.,25,12,Sumatra
Ficus subcordata,Berg (2005) Fl. Males.,25,12,Java
Ficus subcordata,Berg (2005) Fl. Males.,25,12,Lesser Sundas
Ficus subcordata,Berg (2005) Fl. Males.,25,12,Borneo
Ficus subcordata,Berg (2005) Fl. Males.,25,12,Philippines
Ficus subcordata,Berg (2005) Fl. Males.,25,12,Sulawesi
Ficus subcordata,Berg (2005) Fl. Males.,25,12,New Guinea
Ficus subcuneata,Berg (2005) Fl. Males.,50,18,Maluku
Ficus subcuneata,Berg (2005) Fl. Males.,50,18,New Guinea
Ficus subfulva,Berg (2005) Fl. Males.,13,8,Borneo
Ficus subgelderi,Berg (2005) Fl. Males.,12,8,Sumatra
Ficus subgelderi,Berg (2005) Fl. Males.,12,8,Borneo
Ficus subglabritepala,Berg (2005) Fl. Males.,12,10,Borneo
Ficus sublimbata,Berg (2005) Fl. Males.,20,13,New Guinea
Ficus submontana,Berg (2005) Fl. Males.,25,15,Sulawesi
Ficus subnervosa,Berg (2005) Fl. Males.,30,7,New Guinea
Ficus subpisocarpa,Berg (2005) Fl. Males.,12,7,Maluku
Ficus subsidens,Berg (2005) Fl. Males.,11,5,Borneo
Ficus subterranea,Berg (2005) Fl. Males.,16,12,Borneo
Ficus subtrinervia,Berg (2005) Fl. Males.,20,6,Sulawesi
Ficus subtrinervia,Berg (2005) Fl. Males.,20,6,New Guinea
Ficus suffruticosa,Berg (2005) Fl. Males.,8,8,New Guinea
Ficus sulawesiana,Berg (2011) Blumea 56,15,10,Sulawesi
