"binomial_name","family","genus","species","history_at_IF_site","history_at_CP_site","species_origin","logging_status","dispersal_syndrome","Reference"
"Dysoxylum oppositifolium","Meliaceae","Dysoxylum","oppositifolium",NA,NA,"50ha","unlogged",NA,NA
"Epicharis parasitica","Meliaceae","Epicharis","parasitica",NA,NA,"50ha","unlogged",NA,NA
"Prasoxylon rigidum","Meliaceae","Prasoxylon","rigidum",NA,"AR","CP, 50ha","both",NA,NA
"Dysoxylum unknown mixed","Meliaceae","Dysoxylum","unknown mixed",NA,"NR, AR","CP, 50ha","both",NA,NA
"Elaeocarpus brunnescens","Elaeocarpaceae","Elaeocarpus","brunnescens",NA,NA,"50ha","unlogged",NA,NA
"Elaeocarpus stipularis","Elaeocarpaceae","Elaeocarpus","stipularis",NA,"NR, AR","CP, 50ha","both",NA,NA
"Elaeocarpus unknown mixed","Elaeocarpaceae","Elaeocarpus","unknown mixed",NA,"AR","CP, 50ha","both",NA,NA
"Endospermum diadenum","Euphorbiaceae","Endospermum","diadenum",NA,"AR, NR","CP, 50ha","both",NA,NA
"Engelhardia danumensis","Juglandaceae","Engelhardia","danumensis",NA,NA,"50ha","unlogged",NA,NA
"Erycibe borneensis","Convolvulaceae","Erycibe","borneensis",NA,"NR","CP, 50ha","both",NA,NA
"Erythroxylum cuneatum","Erythroxylaceae","Erythroxylum","cuneatum",NA,NA,"50ha","unlogged",NA,NA
"Eurycoma longifolia","Simaroubaceae","Eurycoma","longifolia",NA,NA,"50ha","unlogged",NA,NA
